,coursetext
3059,"INTL 4051 North Africa and the Middle East (3)
See GEOG 4051."
3060,"INTL 4096 The Modern Middle East (3)
See HIST 4096."
3061,"INTL 4100 Migration, Diasporas and Identity (3)
An interdisciplinary survey of global migration in the modern era and the resultant subnational and transnational forms of community, identity, and subjectivity: colonists, exiles, immigrants, refugees and transients."
3062,"INTL 4500 Global Drug Trade (3)
Examination of international drug trafficking from an interdisciplinary perspective. Illicit drugs as a political and social construction. Economic, political, and cultural impacts of the drug trade. Regional emphasis may vary by instructor. "
3063,"INTL 4997 Special Topics in International Studies (3)
May be repeated for a max. of 6 hrs. of credit when topics vary."
3064,"ISDS 1100 Introduction to Management Information Systems (3)
[LCCN: CBUS 2203, Computer Applications] An honors course, ISDS 1101, is also available. Credit will not be given for both this course and ISDS 1101, ISDS 1102, ISDS 1103, CSC 1100, LIS 2001, EXST 2000. 1 hr. lecture; 4 hrs. lab. Examine the expanding role of information technology in organizations including the development and use of information systems, hardware and software, the strategic impact of IT and the nature of the IT career; utilization of management information systems to improve managerial decision-making."
3065,"ISDS 1101 HONORS: Introduction to Management Information Systems (3)
Same as ISDS 1100 with special honors emphasis for qualified students. Credit will not be given for both this course and ISDS 1100 or ISDS 1102 or ISDS 1103. "
3066,"ISDS 1102 Introduction to Management Information Systems for Business Majors (3)
An honors course, ISDS 1103, is also available.  Prereq.: MATH 1021 or equivalent. Credit will not be given for both this course and ISDS 1100 or ISDS 1101 or ISDS 1103. Role of information technology in business including the development and use of information systems, hardware and software, the strategic impact of IT for businesses and the nature of the IT career; utilization of management information systems to improve managerial decision-making."
3067,"ISDS 1103 HONORS: Introduction to Management Information Systems for Business Majors (3)
Same as ISDS 1102, with special honors emphasis for qualified students. Credit will not be given for both this course and ISDS 1101 or ISDS 1102 or ISDS 1103. "
3068,"ISDS 2000 Business Statistics and Analytics I (3)
[LCCN: CMAT 1303, CBUS 2303, Introductory Statistics, Business Statistical Methods I] An honors course,ISDS 2010, is also available. Prereq.: MATH 1431 or equivalent. Credit will not be given for both this course and ISDS 2010. Descriptive analytics; sampling, probabilities and distributions, sampling distributions; inferential statistics including estimation, hypothesis tests; regression. "
3069,"ISDS 2001 Business Statistics and Analytics II (3)
[LCCN: CBUS 2313, Business Statistical Methods II] An honors course, ISDS 2011, is also available. Prereq.: ISDS 2000 or equivalent. Continuation of ISDS 2000. Credit will not be given for both this and ISDS 2011. Advanced statistical methods; ANOVA and multiple linear regression; predictive analytics; decision analysis."
3070,"ISDS 2010 HONORS: Business Statistics and Analytics I (3)
Same as ISDS 2000, with special honors emphasis for qualified students. Credit will not be given for this course and ISDS 2000."
3071,"ISDS 2011 HONORS: Business Statistics and Analytics II (3)
Same as ISDS 2001, with special honors emphasis for qualified students. Credit will not be given for this course and ISDS 2001."
3072,"ISDS 3001 Introduction to Business Information Systems (3)
Credit will not be given for both this course and ISDS 3100. Developing an understanding of what information systems are and an awareness of the role of information systems in organizations including the development of and use of information systems, and their operational and strategic impact."
3073,"ISDS 3002 Introduction to Programming in Business (3)
Credit will not be give for both this course and ISDS 3107. Provide an understanding of Information System Solutions and an awareness of the development process, and the application of technologies used to solve business problems. "
3074,"ISDS 3003 Introduction to Business Data Querying (3)
Credit will not be given for both this course and ISDS 3110. Developing an understanding of what database management systems are and an awareness of data models and query language, and their application in the development of modern business information systems. "
3075,"ISDS 3009 Database Management Systems for Business Analytics (3)
Prereq.: ISDS 1102, ISDS 2000. Credit will not be given for this course and ISDS 3110. Intended primarily for business majors, not ISDS majors, enrolled in the Analytics minor. Concepts and methods associated with database management systems, especially as it relates to users of business analytics."
3076,"ISDS 3070 Independent Reading and Research in Information Systems and Decision Sciences (1-6)
Prereq.: ISDS 3100 and consent of instructor. May be taken for a max. of 6 sem. hrs. of credit. Student is responsible for registering with a faculty member and selecting an area of reading and/or research."
3077,"ISDS 3075 Internship in Information Systems and Decision Sciences (3)
Prereq.: permission of instructor and department chair required. Pass/fail grading. At least the equivalent of 144 hours per semester (3 credits) of learning experience in information systems under the general supervision of an ISDS faculty member and direct supervision of an information systems or decision sciences professional. Grading based on the faculty member’s evaluation, a written report by the professional supervisor and a written report by the student."
3078,"ISDS 3100 Foundations of Information Systems (3)
Prereq.: ISDS 1102. Open only to ISDS majors.  Credit will not be given for both this course and ISDS 3001. The role of information systems in organizations including the development of and use of information systems, operational and strategic impact, and inter-organizational implications."
3079,"ISDS 3105 Internet Development Tools (3)
Prereq.: ISDS 1100 or equivalent. Understanding of the Internet and its structure for use in business; technologies employed to develop Internet applications; development of business applications for the Internet."
3080,"ISDS 3107 Design of Information Systems Solutions (3)
Prereq.: Credit or registration in ISDS 3100. Credit will not be given for both this course and ISDS 3002. Fundamentals of programming, program design, application development interfaces, debugging, testing and implementation. Design and development of information systems solutions."
3081,"ISDS 3110 Data and Information Management (3)
Prereq.: Credit or registration in ISDS 3100.  Credit will not be given for this course and ISDS 3003 .  Concepts and methods associated with the definition, structure, creation, and utilization of databases for computer-based information systems."
